term,E,P,A,E2,P2,A2
denigrate,-2.61,-2.48,1.28,-2.61,-2.48,1.28
denounce,-1.78,-1.23,1.34,-1.78,-1.23,1.34
deny something to,-1.86,-0.96,0.88,-1.86,-0.96,0.88
deprecate,-1.92,-1.32,1.39,-1.92,-1.32,1.39
desire sexually,-1.14,-0.61,0.42,-1.14,-0.61,0.42
dicker with,-1.72,-1.32,0.80,-1.72,-1.32,0.80
direct,1.80,1.43,-1.13,1.80,1.43,-1.13
disagree with,0.18,0.04,0.14,0.18,0.04,0.14
discipline,-0.67,-0.12,1.21,-0.67,-0.12,1.21
discourage,-0.58,-0.55,0.16,-0.58,-0.55,0.16
discuss something with,1.81,1.17,-0.76,1.81,1.17,-0.76
disobey,-1.72,-0.39,1.26,-1.72,-0.39,1.26
disparage,-1.88,-1.41,0.61,-1.88,-1.41,0.61
distract,-1.95,-1.38,0.71,-1.95,-1.38,0.71
divorce,-1.12,-0.72,1.12,-1.12,-0.72,1.12
dote on,0.82,0.74,-0.42,0.82,0.74,-0.42
draw near to,1.45,1.23,-0.73,1.45,1.23,-0.73
dress,0.30,0.30,-0.55,0.30,0.30,-0.55
drone on at,-1.90,-1.10,-0.48,-1.90,-1.10,-0.48
eat with,1.43,0.89,-0.71,1.43,0.89,-0.71
elbow,-1.32,0.09,0.87,-1.32,0.09,0.87
employ,1.76,1.54,-0.46,1.76,1.54,-0.46
encourage,2.75,2.13,0.40,2.75,2.13,0.40
entertain,1.76,1.19,-0.19,1.76,1.19,-0.19
escape,1.59,1.28,0.35,1.59,1.28,0.35
examine,0.56,0.30,-0.20,0.56,0.30,-0.20
excuse,1.33,0.61,-0.70,1.33,0.61,-0.70
exonerate,1.10,1.23,-0.60,1.10,1.23,-0.60
explain something to,2.36,1.64,-1.15,2.36,1.64,-1.15
exploit,-2.24,-1.79,1.07,-2.24,-1.79,1.07
extol,0.26,0.50,-0.01,0.26,0.50,-0.01
eye,-0.19,0.04,-0.26,-0.19,0.04,-0.26
face,1.49,1.64,0.35,1.49,1.64,0.35
feed something to,2.35,1.42,-1.11,2.35,1.42,-1.11
financially back,2.32,1.92,-1.02,2.32,1.92,-1.02
fine,0.14,-0.25,0.16,0.14,-0.25,0.16
fire from a job,-2.21,-0.60,1.77,-2.21,-0.60,1.77
flatter,-0.79,-0.62,0.00,-0.79,-0.62,0.00
flee,-0.80,-0.02,0.48,-0.80,-0.02,0.48
flirt with,0.16,0.16,0.05,0.16,0.16,0.05
flunk,-1.67,-1.31,0.55,-1.67,-1.31,0.55
follow,-0.80,-1.36,0.41,-0.80,-1.36,0.41
forget,-0.94,-0.28,-0.29,-0.94,-0.28,-0.29
forgive,2.57,1.59,-1.51,2.57,1.59,-1.51
fornicate with,-1.75,-1.42,1.24,-1.75,-1.42,1.24
frown at,-2.18,-1.06,1.02,-2.18,-1.06,1.02
gape at,-1.45,-1.68,-0.18,-1.45,-1.68,-0.18
gawk at,-1.40,-1.00,-0.32,-1.40,-1.00,-0.32
gaze at,-1.01,-0.55,0.10,-1.01,-0.55,0.10
giggle at,-1.09,-0.75,0.44,-1.09,-0.75,0.44
giggle with,0.40,0.00,0.66,0.40,0.00,0.66
give instructions to,1.04,1.16,-0.11,1.04,1.16,-0.11
give medical treatment to,1.75,1.47,-1.29,1.75,1.47,-1.29
give raise to,1.64,0.97,-0.28,1.64,0.97,-0.28
glance at,0.26,-0.16,0.45,0.26,-0.16,0.45
glare at,-1.30,-0.47,1.06,-1.30,-0.47,1.06
glorify,0.56,0.45,-0.35,0.56,0.45,-0.35
gossip with,-1.22,-1.00,0.82,-1.22,-1.00,0.82
grade,0.33,0.78,-0.45,0.33,0.78,-0.45
greet,2.44,1.46,-0.91,2.44,1.46,-0.91
grin at,1.86,1.49,-1.21,1.86,1.49,-1.21
