term,E,P,A,E2,P2,A2,instcodes
Having an abortion,-0.96,2.00,-0.17,-1.57,0.85,-0.28
Bathing aBaby,1.78,0.52,0.39,2.30,1.45,0.52
Cleaning aBathroom,-1.70,-0.65,-0.22,-1.80,-0.50,-0.46
Cleaning aKitchen,-0.35,-0.04,-0.04,-0.24,-0.30,-0.11
Cooking for someone,1.74,0.70,0.65,2.18,1.04,0.98
Diapering aBaby,-0.83,0.35,0.61,-0.09,0.64,0.64
Doing laundry,-0.70,-0.48,-0.96,-0.98,-0.22,-0.59
Driving children places,0.78,0.78,1.83,0.20,0.67,1.87
Drying dishes,-0.65,-1.00,-1.04,-0.58,-0.62,-0.93
Feeding aBaby,2.35,0.22,-0.83,2.61,1.61,-0.42
House cleaning,-0.35,-0.52,0.61,-0.41,-0.07,0.57
Mowing the lawn,-0.50,-0.32,0.77,-0.45,-0.36,0.17
Paying household bills,-1.61,0.87,-0.87,-1.41,0.67,-0.72
Polishing furniture,-0.87,-0.91,-1.30,-0.71,-0.49,-0.87
Polluting the environment,-3.23,1.41,0.91,-2.98,0.85,0.26
Having sex before marriage,1.00,1.78,1.78,1.16,1.67,1.87
Having safe sex,3.00,2.09,1.61,3.33,2.33,2.02
Sewing for someone,1.13,-0.17,-0.57,0.93,-0.30,-0.66
Having sex with ones spouse,1.00,2.48,2.91,1.83,2.20,2.54
Sweeping aFloor,-0.48,-0.57,-0.96,-0.55,-0.07,-0.39
Vacuuming aCarpet,0.09,0.09,0.52,-0.29,0.11,0.33
Washing dishes,-1.17,-0.83,-0.09,-0.56,-0.69,-0.44
